lab,rowid,period_year,period_quarter,count_tested,count_positive
6,13646,2019,2,177,140
7,13663,2019,2,1792,689
8,13675,2019,2,56,19
9,13677,2019,2,80,64
10,13704,2019,2,342,94
11,13713,2019,2,192,27
12,13723,2019,2,182,38
13,13735,2019,2,301,125
15,13751,2019,2,773,219
17,13763,2019,2,17,6
20,13832,2019,2,2129,318
22,13854,2019,2,373,157
24,13879,2019,2,302,106
25,13896,2019,2,234,90
29,13905,2019,2,139,57
32,13937,2019,2,47,6
2,13969,2019,3,39,7
4,13998,2019,3,756,319
6,14025,2019,3,274,164
7,14040,2019,3,1137,531
8,14049,2019,3,56,18
9,14051,2019,3,54,50
10,14073,2019,3,442,177
11,14086,2019,3,145,40
12,14095,2019,3,138,39
13,14106,2019,3,161,85
15,14119,2019,3,696,239
17,14130,2019,3,41,10
20,14199,2019,3,2103,423
22,14229,2019,3,269,17
24,14248,2019,3,205,89
25,14259,2019,3,313,133
29,14267,2019,3,162,56
32,14290,2019,3,40,1
2,14373,2019,4,62,11
4,14342,2019,4,642,248
6,14399,2019,4,167,137
7,14417,2019,4,709,372
8,14425,2019,4,17,10
9,14427,2019,4,67,64
10,14452,2019,4,243,87
11,14461,2019,4,165,63
12,14469,2019,4,91,22
13,14480,2019,4,66,35
17,14501,2019,4,40,6
20,14569,2019,4,1617,298
22,14596,2019,4,290,18
24,14613,2019,4,61,27
25,14627,2019,4,211,124
29,14638,2019,4,77,40
31,14642,2019,4,188,33
32,14665,2019,4,31,6
33,14683,2019,4,40,26
2,15016,2020,1,18,5
4,15036,2020,1,257,132
6,15071,2020,1,185,152
8,15089,2020,1,30,9
9,15094,2020,1,72,61
10,15103,2020,1,396,51
13,15135,2020,1,21,9
15,15156,2020,1,331,112
17,15162,2020,1,22,7
20,15191,2020,1,1873,325
25,15264,2020,1,140,43
29,15283,2020,1,147,87
32,15289,2020,1,17,4
2,15342,2020,2,7,2
4,15351,2020,2,1453,627
6,15389,2020,2,292,169
7,15413,2020,2,194,86
8,15422,2020,2,7,0
9,15427,2020,2,9,9
10,15435,2020,2,302,134
11,15464,2020,2,128,27
12,15468,2020,2,160,39
13,15475,2020,2,30,30
17,15493,2020,2,14,4
20,15545,2020,2,1448,133
24,15606,2020,2,91,36
25,15619,2020,2,223,67
29,15631,2020,2,100,29
31,15639,2020,2,170,37
32,15642,2020,2,2,0
2,23611,2020,3,27,6
4,23647,2020,3,1160,525
7,23682,2020,3,967,428
8,23693,2020,3,10,1
9,23695,2020,3,40,31
10,23722,2020,3,371,144
11,23730,2020,3,172,63
12,23735,2020,3,123,39
13,23747,2020,3,60,24
17,23764,2020,3,48,29
